"filename", "language", "TOML", "Rust", "Rusty Object Notation (RON)", "comment", "blank", "total"
"d:\stepa\Documents\Rust\net_comms\Cargo.toml", "TOML", 11, 0, 0, 2, 6, 19
"d:\stepa\Documents\Rust\net_comms\library\Cargo.toml", "TOML", 11, 0, 0, 1, 2, 14
"d:\stepa\Documents\Rust\net_comms\library\src\buffer\from_buffer.rs", "Rust", 0, 4, 0, 4, 2, 10
"d:\stepa\Documents\Rust\net_comms\library\src\buffer\mod.rs", "Rust", 0, 4, 0, 0, 1, 5
"d:\stepa\Documents\Rust\net_comms\library\src\buffer\to_buffer.rs", "Rust", 0, 4, 0, 3, 2, 9
"d:\stepa\Documents\Rust\net_comms\library\src\command\command.rs", "Rust", 0, 20, 0, 1, 7, 28
"d:\stepa\Documents\Rust\net_comms\library\src\command\command_raw.rs", "Rust", 0, 212, 0, 24, 48, 284
"d:\stepa\Documents\Rust\net_comms\library\src\command\mod.rs", "Rust", 0, 4, 0, 0, 1, 5
"d:\stepa\Documents\Rust\net_comms\library\src\config.rs", "Rust", 0, 10, 0, 4, 2, 16
"d:\stepa\Documents\Rust\net_comms\library\src\error\error.rs", "Rust", 0, 190, 0, 3, 21, 214
"d:\stepa\Documents\Rust\net_comms\library\src\error\error_kind.rs", "Rust", 0, 22, 0, 2, 4, 28
"d:\stepa\Documents\Rust\net_comms\library\src\error\mod.rs", "Rust", 0, 4, 0, 0, 1, 5
"d:\stepa\Documents\Rust\net_comms\library\src\lib.rs", "Rust", 0, 71, 0, 18, 25, 114
"d:\stepa\Documents\Rust\net_comms\library\src\message\message.rs", "Rust", 0, 358, 0, 55, 83, 496
"d:\stepa\Documents\Rust\net_comms\library\src\message\message_kind.rs", "Rust", 0, 45, 0, 3, 11, 59
"d:\stepa\Documents\Rust\net_comms\library\src\message\mod.rs", "Rust", 0, 6, 0, 0, 2, 8
"d:\stepa\Documents\Rust\net_comms\library\src\message\server_reply.rs", "Rust", 0, 28, 0, 1, 3, 32
"d:\stepa\Documents\Rust\net_comms\library\src\packet\metadata.rs", "Rust", 0, 140, 0, 30, 40, 210
"d:\stepa\Documents\Rust\net_comms\library\src\packet\mod.rs", "Rust", 0, 6, 0, 1, 2, 9
"d:\stepa\Documents\Rust\net_comms\library\src\packet\packet.rs", "Rust", 0, 57, 0, 14, 21, 92
"d:\stepa\Documents\Rust\net_comms\library\src\packet\packet_kind.rs", "Rust", 0, 110, 0, 21, 37, 168
"d:\stepa\Documents\Rust\net_comms\library\src\request\mod.rs", "Rust", 0, 2, 0, 0, 1, 3
"d:\stepa\Documents\Rust\net_comms\library\src\request\request.rs", "Rust", 0, 35, 0, 1, 7, 43
"d:\stepa\Documents\Rust\net_comms\library\src\request\request_kind.rs", "Rust", 0, 36, 0, 0, 9, 45
"d:\stepa\Documents\Rust\net_comms\library\src\user\mod.rs", "Rust", 0, 4, 0, 0, 1, 5
"d:\stepa\Documents\Rust\net_comms\library\src\user\user.rs", "Rust", 0, 54, 0, 7, 12, 73
"d:\stepa\Documents\Rust\net_comms\library\src\user\user_unchecked.rs", "Rust", 0, 9, 0, 0, 1, 10
"d:\stepa\Documents\Rust\net_comms\src\bin\client\main.rs", "Rust", 0, 90, 0, 4, 20, 114
"d:\stepa\Documents\Rust\net_comms\src\bin\server\config.ron", "Rusty Object Notation (RON)", 0, 0, 4, 0, 0, 4
"d:\stepa\Documents\Rust\net_comms\src\bin\server\config.rs", "Rust", 0, 0, 0, 0, 1, 1
"d:\stepa\Documents\Rust\net_comms\src\bin\server\main.rs", "Rust", 0, 103, 0, 26, 23, 152
"Total", "-", 22, 1628, 4, 225, 396, 2275
