"filename", "language", "TOML", "Rust", "comment", "blank", "total"
"d:\stepa\Documents\Rust\net_comms\Cargo.toml", "TOML", 11, 0, 2, 6, 19
"d:\stepa\Documents\Rust\net_comms\library\Cargo.toml", "TOML", 11, 0, 1, 2, 14
"d:\stepa\Documents\Rust\net_comms\library\src\buffer\from_buffer.rs", "Rust", 0, 6, 21, 2, 29
"d:\stepa\Documents\Rust\net_comms\library\src\buffer\mod.rs", "Rust", 0, 4, 1, 1, 6
"d:\stepa\Documents\Rust\net_comms\library\src\buffer\to_buffer.rs", "Rust", 0, 4, 16, 2, 22
"d:\stepa\Documents\Rust\net_comms\library\src\command\command.rs", "Rust", 0, 11, 15, 7, 33
"d:\stepa\Documents\Rust\net_comms\library\src\command\command_raw.rs", "Rust", 0, 237, 66, 49, 352
"d:\stepa\Documents\Rust\net_comms\library\src\command\mod.rs", "Rust", 0, 4, 0, 1, 5
"d:\stepa\Documents\Rust\net_comms\library\src\config.rs", "Rust", 0, 10, 12, 4, 26
"d:\stepa\Documents\Rust\net_comms\library\src\error\error.rs", "Rust", 0, 174, 37, 11, 222
"d:\stepa\Documents\Rust\net_comms\library\src\error\error_kind.rs", "Rust", 0, 21, 15, 11, 47
"d:\stepa\Documents\Rust\net_comms\library\src\error\mod.rs", "Rust", 0, 4, 0, 1, 5
"d:\stepa\Documents\Rust\net_comms\library\src\lib.rs", "Rust", 0, 71, 21, 29, 121
"d:\stepa\Documents\Rust\net_comms\library\src\message\message.rs", "Rust", 0, 356, 270, 110, 736
"d:\stepa\Documents\Rust\net_comms\library\src\message\message_kind.rs", "Rust", 0, 43, 3, 10, 56
"d:\stepa\Documents\Rust\net_comms\library\src\message\mod.rs", "Rust", 0, 6, 0, 2, 8
"d:\stepa\Documents\Rust\net_comms\library\src\message\server_reply.rs", "Rust", 0, 29, 1, 3, 33
"d:\stepa\Documents\Rust\net_comms\library\src\packet\metadata.rs", "Rust", 0, 149, 33, 43, 225
"d:\stepa\Documents\Rust\net_comms\library\src\packet\mod.rs", "Rust", 0, 6, 1, 2, 9
"d:\stepa\Documents\Rust\net_comms\library\src\packet\packet.rs", "Rust", 0, 57, 14, 21, 92
"d:\stepa\Documents\Rust\net_comms\library\src\packet\packet_kind.rs", "Rust", 0, 108, 21, 37, 166
"d:\stepa\Documents\Rust\net_comms\library\src\request\mod.rs", "Rust", 0, 2, 0, 1, 3
"d:\stepa\Documents\Rust\net_comms\library\src\request\request.rs", "Rust", 0, 34, 1, 7, 42
"d:\stepa\Documents\Rust\net_comms\library\src\user\mod.rs", "Rust", 0, 4, 0, 1, 5
"d:\stepa\Documents\Rust\net_comms\library\src\user\user.rs", "Rust", 0, 55, 7, 12, 74
"d:\stepa\Documents\Rust\net_comms\library\src\user\user_unchecked.rs", "Rust", 0, 6, 0, 1, 7
"d:\stepa\Documents\Rust\net_comms\src\bin\client\main.rs", "Rust", 0, 80, 4, 17, 101
"d:\stepa\Documents\Rust\net_comms\src\bin\server\main.rs", "Rust", 0, 189, 1, 37, 227
"d:\stepa\Documents\Rust\net_comms\src\bin\server\users.rs", "Rust", 0, 6, 0, 3, 9
"Total", "-", 22, 1676, 563, 433, 2694
