"filename", "language", "TOML", "Rusty Object Notation (RON)", "Rust", "comment", "blank", "total"
"d:\stepa\Documents\Rust\net_comms\Cargo.toml", "TOML", 18, 0, 0, 1, 7, 26
"d:\stepa\Documents\Rust\net_comms\library\Cargo.toml", "TOML", 12, 0, 0, 1, 2, 15
"d:\stepa\Documents\Rust\net_comms\library\src\bytes\bytes.rs", "Rust", 0, 0, 73, 0, 27, 100
"d:\stepa\Documents\Rust\net_comms\library\src\bytes\from_bytes.rs", "Rust", 0, 0, 135, 7, 39, 181
"d:\stepa\Documents\Rust\net_comms\library\src\bytes\into_bytes.rs", "Rust", 0, 0, 40, 1, 16, 57
"d:\stepa\Documents\Rust\net_comms\library\src\bytes\mod.rs", "Rust", 0, 0, 6, 0, 1, 7
"d:\stepa\Documents\Rust\net_comms\library\src\error\error.rs", "Rust", 0, 0, 312, 36, 14, 362
"d:\stepa\Documents\Rust\net_comms\library\src\error\error_kind.rs", "Rust", 0, 0, 25, 19, 11, 55
"d:\stepa\Documents\Rust\net_comms\library\src\error\mod.rs", "Rust", 0, 0, 4, 0, 1, 5
"d:\stepa\Documents\Rust\net_comms\library\src\lib.rs", "Rust", 0, 0, 11, 17, 8, 36
"d:\stepa\Documents\Rust\net_comms\library\src\message\content_type.rs", "Rust", 0, 0, 17, 0, 3, 20
"d:\stepa\Documents\Rust\net_comms\library\src\message\into_message.rs", "Rust", 0, 0, 8, 0, 1, 9
"d:\stepa\Documents\Rust\net_comms\library\src\message\message.rs", "Rust", 0, 0, 235, 8, 61, 304
"d:\stepa\Documents\Rust\net_comms\library\src\message\metadata_type.rs", "Rust", 0, 0, 10, 0, 2, 12
"d:\stepa\Documents\Rust\net_comms\library\src\message\mod.rs", "Rust", 0, 0, 8, 0, 2, 10
"d:\stepa\Documents\Rust\net_comms\library\src\packet\mod.rs", "Rust", 0, 0, 4, 1, 1, 6
"d:\stepa\Documents\Rust\net_comms\library\src\packet\packet.rs", "Rust", 0, 0, 158, 54, 52, 264
"d:\stepa\Documents\Rust\net_comms\library\src\packet\packet_kind.rs", "Rust", 0, 0, 75, 11, 26, 112
"d:\stepa\Documents\Rust\net_comms\library\src\ron\from_ron.rs", "Rust", 0, 0, 15, 7, 3, 25
"d:\stepa\Documents\Rust\net_comms\library\src\ron\into_ron.rs", "Rust", 0, 0, 32, 11, 8, 51
"d:\stepa\Documents\Rust\net_comms\library\src\ron\mod.rs", "Rust", 0, 0, 4, 0, 1, 5
"d:\stepa\Documents\Rust\net_comms\library\tests\bytes.rs", "Rust", 0, 0, 10, 0, 2, 12
"d:\stepa\Documents\Rust\net_comms\library\tests\main.rs", "Rust", 0, 0, 4, 0, 2, 6
"d:\stepa\Documents\Rust\net_comms\library\tests\packet.rs", "Rust", 0, 0, 7, 0, 3, 10
"d:\stepa\Documents\Rust\net_comms\src\bin\client\client.rs", "Rust", 0, 0, 33, 0, 9, 42
"d:\stepa\Documents\Rust\net_comms\src\bin\client\client_config.ron", "Rusty Object Notation (RON)", 0, 3, 0, 0, 0, 3
"d:\stepa\Documents\Rust\net_comms\src\bin\client\command\command.rs", "Rust", 0, 0, 73, 18, 31, 122
"d:\stepa\Documents\Rust\net_comms\src\bin\client\command\command_raw.rs", "Rust", 0, 0, 235, 66, 50, 351
"d:\stepa\Documents\Rust\net_comms\src\bin\client\command\mod.rs", "Rust", 0, 0, 4, 0, 1, 5
"d:\stepa\Documents\Rust\net_comms\src\bin\client\main.rs", "Rust", 0, 0, 111, 6, 21, 138
"d:\stepa\Documents\Rust\net_comms\src\bin\client\small_test.rs", "Rust", 0, 0, 34, 1, 14, 49
"d:\stepa\Documents\Rust\net_comms\src\bin\server\main.rs", "Rust", 0, 0, 28, 2, 11, 41
"d:\stepa\Documents\Rust\net_comms\src\bin\server\message\command.rs", "Rust", 0, 0, 1, 0, 1, 2
"d:\stepa\Documents\Rust\net_comms\src\bin\server\message\mod.rs", "Rust", 0, 0, 2, 0, 1, 3
"d:\stepa\Documents\Rust\net_comms\src\bin\server\server.rs", "Rust", 0, 0, 462, 3, 78, 543
"d:\stepa\Documents\Rust\net_comms\src\bin\server\server_config.ron", "Rusty Object Notation (RON)", 0, 6, 0, 0, 0, 6
"d:\stepa\Documents\Rust\net_comms\src\bin\server\small_test.rs", "Rust", 0, 0, 28, 1, 9, 38
"d:\stepa\Documents\Rust\net_comms\src\shared\config.rs", "Rust", 0, 0, 6, 8, 2, 16
"d:\stepa\Documents\Rust\net_comms\src\shared\lib.rs", "Rust", 0, 0, 5, 0, 2, 7
"d:\stepa\Documents\Rust\net_comms\src\shared\message\content.rs", "Rust", 0, 0, 114, 0, 36, 150
"d:\stepa\Documents\Rust\net_comms\src\shared\message\message_kind.rs", "Rust", 0, 0, 71, 2, 19, 92
"d:\stepa\Documents\Rust\net_comms\src\shared\message\metadata.rs", "Rust", 0, 0, 219, 62, 71, 352
"d:\stepa\Documents\Rust\net_comms\src\shared\message\mod.rs", "Rust", 0, 0, 10, 0, 1, 11
"d:\stepa\Documents\Rust\net_comms\src\shared\message\request.rs", "Rust", 0, 0, 47, 10, 22, 79
"d:\stepa\Documents\Rust\net_comms\src\shared\message\server_reply.rs", "Rust", 0, 0, 58, 6, 16, 80
"d:\stepa\Documents\Rust\net_comms\src\shared\user\mod.rs", "Rust", 0, 0, 2, 0, 1, 3
"d:\stepa\Documents\Rust\net_comms\src\shared\user\user.rs", "Rust", 0, 0, 115, 10, 34, 159
"Total", "-", 30, 9, 2851, 369, 723, 3982
